title,year,conference
 Stabilizing darts withamended gradient estimation on architectural parameters,2019, arXiv preprint arXiv:1910
 Efficient architecture search by network transforma-tion,2018, In AAAI Conference on Artificial Intelligence
 Proxylessnas: Direct neural architecture search on target task andhardware,2019, 2019
 Once for all: Train one network and specialize it for efficientdeployment,2020, In International Conference on Learning Representations
 Stabilizing differentiable architecture search via perturbation-based regularization,2020, In International Conference on Machine Learning
 Fair darts: Eliminating unfair advantagesin differentiable architecture search,2019, arXiv preprint arXiv:1911
 Autoaugment: Learning augmentationpolicies from data,2019, In Computer Vision and Pattern Recognition
 Imagenet: A large-scale hierarchicalimage database,2009, In Computer Vision and Pattern Recognition
 Single path one-shot neuralarchitecture search with uniform sampling,2019, arXiv preprint arXiv:1904
 Milenas: Efficient neural architecture searchvia mixed-level reformulation,2020, In Computer Vision and Pattern Recognition
 Deep residual learning for image recognition,2016, In ComputerVision and Pattern Recognition
 Searching for mobilenetv3,2019, InInternational Conference on Computer Vision
 Densely connected convolutionalnetworks,2017, In Computer Vision and Pattern Recognition
 Imagenet classification with deep convolutional neuralnetworks,2012, In Advances in Neural Information Processing Systems
 Deep learning,2015, Nature
 Stacnas: Towards stable and con-sistent optimization for differentiable neural architecture search,2019, arXiv preprint arXiv:1909
 Darts+: Improved differentiablearchitecture search with early stopping,2019, arXiv preprint arXiv:1909
 Darts: Differentiable architecture search,2019, In InternationalConference on Learning Representations
 Neural architecture optimization,2018, In Advances inNeural Information Processing Systems
 Shufflenet v2: Practical guidelines for efficient cnnarchitecture design,2018, In European Conference on Computer Vision
 Xnas: Neural architecturesearch with expert advice,2019, arXiv preprint arXiv:1906
 Efficient neural architecture search via parametersharing,2018, In International Conference on Machine Learning
 Large-scaleevolution of image classifiers,2017, In International Conference on Machine Learning
 Regularized evolution for image classifier architecturesearch,2019, In AAAI Conference on Artificial Intelligence
 Very deep convolutional networks for large-scale imagerecognition,2015, In International Conference on Learning Representations
 Going deeper with convolutions,2015, In Computer Vision and Pattern Recognition
 Mnasnet: Platform-aware neural architecture search for mobile,2019, In Computer Vision and Pattern Recognition
 Genetic CNN,2017, In International Conference on Computer Vision
 SNAS: Stochastic neural architecture search,2018, arXiv preprintarXiv:1812
 Pc-darts: Partial channelconnections for memory-efficient differentiable architecture search,2020, In International Conferenceon Learning Representations
 Neural architecture search with reinforcement learning,2017, In InternationalConference on Learning Representations
 Learning transferable architectures for scalableimage recognition,2018, In Computer Vision and Pattern Recognition
